lambda (mm), material, size index, min size (mm), max size (mm), porosity, ice fraction, opacity
1.2, Astro. silicates, -3.0, 1e-4, 1, 0, 0, .399
1.2, Astro. silicates, -3.0, 1e-4, 1, .5, 0, .467
1.2, Astro. silicates, -3.0, 1e-4, 1, .8, 0, .451
1.2, Astro. silicates, -3.0, 1e-4, 1, 0, .22, .3
1.2, Astro. silicates, -3.0, 1e-4, 1, .5, .22, .272
1.2, Astro. silicates, -3.0, 1e-4, 1, .8, .22, .223
1.2, Astro. silicates, -3.0, 1e-4, 1, 0, .48, .217
1.2, Astro. silicates, -3.0, 1e-4, 1, .5, .48, .17
1.2, Astro. silicates, -3.0, 1e-4, 1, .8, .48, .143

1.2, Astro. silicates, -3.0, 1e-4, 10, 0, 0, .093
1.2, Astro. silicates, -3.0, 1e-4, 10, .5, 0, .158
1.2, Astro. silicates, -3.0, 1e-4, 10, .8, 0, .27
1.2, Astro. silicates, -3.0, 1e-4, 10, 0, .22, .096
1.2, Astro. silicates, -3.0, 1e-4, 10, .5, .22, .14
1.2, Astro. silicates, -3.0, 1e-4, 10, .8, .22, .196
1.2, Astro. silicates, -3.0, 1e-4, 10, 0, .48, .096
1.2, Astro. silicates, -3.0, 1e-4, 10, .5, .48, .123
1.2, Astro. silicates, -3.0, 1e-4, 10, .8, .48, .143

1.2, Astro. silicates, -3.0, 1e-4, 100, 0, 0, .0144
1.2, Astro. silicates, -3.0, 1e-4, 100, .5, 0, .0273
1.2, Astro. silicates, -3.0, 1e-4, 100, .8, 0, .0586
1.2, Astro. silicates, -3.0, 1e-4, 100, 0, .22, .017
1.2, Astro. silicates, -3.0, 1e-4, 100, .5, .22, .0304
1.2, Astro. silicates, -3.0, 1e-4, 100, .8, .22, .0605
1.2, Astro. silicates, -3.0, 1e-4, 100, 0, .48, .0196
1.2, Astro. silicates, -3.0, 1e-4, 100, .5, .48, .0332
1.2, Astro. silicates, -3.0, 1e-4, 100, .8, .48, .0603

1.2, Astro. silicates, -3.5, 1e-4, 1, 0, 0, .348
1.2, Astro. silicates, -3.5, 1e-4, 1, .5, 0, .372
1.2, Astro. silicates, -3.5, 1e-4, 1, .8, 0, .37
1.2, Astro. silicates, -3.5, 1e-4, 1, 0, .22, .239
1.2, Astro. silicates, -3.5, 1e-4, 1, .5, .22, .213
1.2, Astro. silicates, -3.5, 1e-4, 1, .8, .22, .195
1.2, Astro. silicates, -3.5, 1e-4, 1, 0, .48, .168
1.2, Astro. silicates, -3.5, 1e-4, 1, .5, .48, .139
1.2, Astro. silicates, -3.5, 1e-4, 1, .8, .48, .129

1.2, Astro. silicates, -3.5, 1e-4, 10, 0, 0, .159
1.2, Astro. silicates, -3.5, 1e-4, 10, .5, 0, .219
1.2, Astro. silicates, -3.5, 1e-4, 10, .8, 0, .311
1.2, Astro. silicates, -3.5, 1e-4, 10, 0, .22, .133
1.2, Astro. silicates, -3.5, 1e-4, 10, .5, .22, .164
1.2, Astro. silicates, -3.5, 1e-4, 10, .8, .22, .203
1.2, Astro. silicates, -3.5, 1e-4, 10, 0, .48, .118
1.2, Astro. silicates, -3.5, 1e-4, 10, .5, .48, .133
1.2, Astro. silicates, -3.5, 1e-4, 10, .8, .48, .142

1.2, Astro. silicates, -3.5, 1e-4, 100, 0, 0, .056
1.2, Astro. silicates, -3.5, 1e-4, 100, .5, 0, .08
1.2, Astro. silicates, -3.5, 1e-4, 100, .8, 0, .128
1.2, Astro. silicates, -3.5, 1e-4, 100, 0, .22, .049
1.2, Astro. silicates, -3.5, 1e-4, 100, .5, .22, .067
1.2, Astro. silicates, -3.5, 1e-4, 100, .8, .22, .101
1.2, Astro. silicates, -3.5, 1e-4, 100, 0, .48, .047
1.2, Astro. silicates, -3.5, 1e-4, 100, .5, .48, .061
1.2, Astro. silicates, -3.5, 1e-4, 100, .8, .48, .085

1.2, Astro. silicates, -4.0, 1e-4, 1, 0, 0, .156
1.2, Astro. silicates, -4.0, 1e-4, 1, .5, 0, .18
1.2, Astro. silicates, -4.0, 1e-4, 1, .8, 0, .245
1.2, Astro. silicates, -4.0, 1e-4, 1, 0, .22, .107
1.2, Astro. silicates, -4.0, 1e-4, 1, .5, .22, .119
1.2, Astro. silicates, -4.0, 1e-4, 1, .8, .22, .153
1.2, Astro. silicates, -4.0, 1e-4, 1, 0, .48, .081
1.2, Astro. silicates, -4.0, 1e-4, 1, .5, .48, .09
1.2, Astro. silicates, -4.0, 1e-4, 1, .8, .48, .109

1.2, Astro. silicates, -4.0, 1e-4, 10, 0, 0, .142
1.2, Astro. silicates, -4.0, 1e-4, 10, .5, 0, .181
1.2, Astro. silicates, -4.0, 1e-4, 10, .8, 0, .261
1.2, Astro. silicates, -4.0, 1e-4, 10, 0, .22, .105
1.2, Astro. silicates, -4.0, 1e-4, 10, .5, .22, .128
1.2, Astro. silicates, -4.0, 1e-4, 10, .8, .22, .166
1.2, Astro. silicates, -4.0, 1e-4, 10, 0, .48, .087
1.2, Astro. silicates, -4.0, 1e-4, 10, .5, .48, .101
1.2, Astro. silicates, -4.0, 1e-4, 10, .8, .48, .118

1.2, Astro. silicates, -4.0, 1e-4, 100, 0, 0, .122
1.2, Astro. silicates, -4.0, 1e-4, 100, .5, 0, .153
1.2, Astro. silicates, -4.0, 1e-4, 100, .8, 0, .226
1.2, Astro. silicates, -4.0, 1e-4, 100, 0, .22, .09
1.2, Astro. silicates, -4.0, 1e-4, 100, .5, .22, .111
1.2, Astro. silicates, -4.0, 1e-4, 100, .8, .22, .149
1.2, Astro. silicates, -4.0, 1e-4, 100, 0, .48, .075
1.2, Astro. silicates, -4.0, 1e-4, 100, .5, .48, .09
1.2, Astro. silicates, -4.0, 1e-4, 100, .8, .48, .11

1.2, Silicate mixt., -3.0, 1e-4, 1, 0, 0, .107
1.2, Silicate mixt., -3.0, 1e-4, 1, .5, 0, .092
1.2, Silicate mixt., -3.0, 1e-4, 1, .8, 0, .069
1.2, Silicate mixt., -3.0, 1e-4, 1, 0, .22, .105
1.2, Silicate mixt., -3.0, 1e-4, 1, .5, .22, .081
1.2, Silicate mixt., -3.0, 1e-4, 1, .8, .22, .066
1.2, Silicate mixt., -3.0, 1e-4, 1, 0, .48, .11
1.2, Silicate mixt., -3.0, 1e-4, 1, .5, .48, .081
1.2, Silicate mixt., -3.0, 1e-4, 1, .8, .48, .067

1.2, Silicate mixt., -3.0, 1e-4, 10, 0, 0, .042
1.2, Silicate mixt., -3.0, 1e-4, 10, .5, 0, .056
1.2, Silicate mixt., -3.0, 1e-4, 10, .8, 0, .069
1.2, Silicate mixt., -3.0, 1e-4, 10, 0, .22, .051
1.2, Silicate mixt., -3.0, 1e-4, 10, .5, .22, .061
1.2, Silicate mixt., -3.0, 1e-4, 10, .8, .22, .07
1.2, Silicate mixt., -3.0, 1e-4, 10, 0, .48, .062
1.2, Silicate mixt., -3.0, 1e-4, 10, .5, .48, .07
1.2, Silicate mixt., -3.0, 1e-4, 10, .8, .48, .073

1.2, Silicate mixt., -3.0, 1e-4, 100, 0, 0, .0098
1.2, Silicate mixt., -3.0, 1e-4, 100, .5, 0, .0166
1.2, Silicate mixt., -3.0, 1e-4, 100, .8, 0, .0305
1.2, Silicate mixt., -3.0, 1e-4, 100, 0, .22, .0125
1.2, Silicate mixt., -3.0, 1e-4, 100, .5, .22, .0208
1.2, Silicate mixt., -3.0, 1e-4, 100, .8, .22, .0359
1.2, Silicate mixt., -3.0, 1e-4, 100, 0, .48, .0158
1.2, Silicate mixt., -3.0, 1e-4, 100, .5, .48, .0256
1.2, Silicate mixt., -3.0, 1e-4, 100, .8, .48, .0412

1.2, Silicate mixt., -3.5, 1e-4, 1, 0, 0, .084
1.2, Silicate mixt., -3.5, 1e-4, 1, .5, 0, .07
1.2, Silicate mixt., -3.5, 1e-4, 1, .8, 0, .059
1.2, Silicate mixt., -3.5, 1e-4, 1, 0, .22, .08
1.2, Silicate mixt., -3.5, 1e-4, 1, .5, .22, .064
1.2, Silicate mixt., -3.5, 1e-4, 1, .8, .22, .059
1.2, Silicate mixt., -3.5, 1e-4, 1, 0, .48, .084
1.2, Silicate mixt., -3.5, 1e-4, 1, .5, .48, .067
1.2, Silicate mixt., -3.5, 1e-4, 1, .8, .48, .062

1.2, Silicate mixt., -3.5, 1e-4, 10, 0, 0, .053
1.2, Silicate mixt., -3.5, 1e-4, 10, .5, 0, .061
1.2, Silicate mixt., -3.5, 1e-4, 10, .8, 0, .068
1.2, Silicate mixt., -3.5, 1e-4, 10, 0, .22, .06
1.2, Silicate mixt., -3.5, 1e-4, 10, .5, .22, .064
1.2, Silicate mixt., -3.5, 1e-4, 10, .8, .22, .068
1.2, Silicate mixt., -3.5, 1e-4, 10, 0, .48, .07
1.2, Silicate mixt., -3.5, 1e-4, 10, .5, .48, .072
1.2, Silicate mixt., -3.5, 1e-4, 10, .8, .48, .07

1.2, Silicate mixt., -3.5, 1e-4, 100, 0, 0, .024
1.2, Silicate mixt., -3.5, 1e-4, 100, .5, 0, .03
1.2, Silicate mixt., -3.5, 1e-4, 100, .8, 0, .042
